Campaign_ID,Campaign_Name,Platform,Campaign_Type,Objective,Audience_Segment,Region,Device_Type,Ad_Format,Launch_Date,Spend_USD,Impressions,Clicks,CTR_Percent,CPC_USD,Conversions,Conversion_Rate_Percent,CPA_USD,Revenue_USD,ROAS,Engagement_Rate_Percent,Video_Completion_Rate_Percent
MKTCAMP_1000,Brand Awareness_Latin America_0,X,Brand Awareness,Conversions,Young Professionals 25-34,Latin America,Desktop,Carousel,2025-01-18,9676.23,2042928,129299,6.33,0.07,14192,10.98,0.68,1134309.29,117.23,3.9,
MKTCAMP_1001,Brand Awareness_North America_1,X,Brand Awareness,Engagement,Tech Decision Makers,North America,Tablet,Video,2025-01-04,1923.05,376748,19850,5.27,0.1,2558,12.89,0.75,93589.64,48.67,17.98,81.6
MKTCAMP_1002,Lead Generation_APAC_2,Google Ads,Lead Generation,Traffic,Gamers,APAC,Tablet,Search Ad,2025-01-26,5702.31,414720,7819,1.89,0.73,455,5.82,12.53,90054.54,15.79,8.67,
MKTCAMP_1003,Sales Conversion_Middle East_3,X,Sales Conversion,Engagement,Tech Decision Makers,Middle East,Mobile,Search Ad,2025-02-05,7635.11,1146285,17537,1.53,0.44,984,5.61,7.76,144880.02,18.98,9.09,
MKTCAMP_1004,Lead Generation_India_4,Google Ads,Lead Generation,Conversions,Luxury Buyers,India,Desktop,Carousel,2025-04-08,19736.81,1498838,68426,4.57,0.29,7436,10.87,2.65,333609.69,16.9,11.71,
MKTCAMP_1005,Brand Awareness_Middle East_5,LinkedIn,Brand Awareness,Awareness,Small Business Owners,Middle East,Mobile,Image,2025-03-19,4677.84,241887,19558,8.09,0.24,3402,17.4,1.38,982113.69,209.95,6.47,
MKTCAMP_1006,Brand Awareness_APAC_6,LinkedIn,Brand Awareness,Engagement,Students 18-24,APAC,Mobile,Video,2025-03-12,2892.97,472022,18716,3.97,0.15,493,2.64,5.87,92909.11,32.12,1.79,87.75
MKTCAMP_1007,Sales Conversion_India_7,LinkedIn,Sales Conversion,Conversions,Healthcare Professionals,India,Tablet,Video,2025-01-06,6840.11,1089314,31860,2.92,0.21,3058,9.6,2.24,626728.81,91.63,4.4,92.57
MKTCAMP_1008,Lead Generation_North America_8,X,Lead Generation,Traffic,Pet Owners,North America,Mobile,Story,2025-02-05,19490.75,4075707,311714,7.65,0.06,34173,10.96,0.57,11106216.63,569.82,2.73,
MKTCAMP_1009,Sales Conversion_Europe_9,TikTok,Sales Conversion,Awareness,Parents with Kids,Europe,Desktop,Carousel,2025-03-27,5301.58,255222,7746,3.04,0.68,565,7.3,9.38,66009.9,12.45,15.54,
MKTCAMP_1010,Sales Conversion_APAC_10,LinkedIn,Sales Conversion,Conversions,Small Business Owners,APAC,Tablet,Search Ad,2025-04-04,9240.46,836891,40135,4.8,0.23,1190,2.97,7.77,341176.61,36.92,2.49,
MKTCAMP_1011,Lead Generation_Middle East_11,Meta,Lead Generation,Leads,Students 18-24,Middle East,Desktop,Carousel,2025-03-29,24678.73,4417592,88775,2.01,0.28,529,0.6,46.65,153911.31,6.24,13.43,
MKTCAMP_1012,Brand Awareness_North America_12,LinkedIn,Brand Awareness,Engagement,Gamers,North America,Desktop,Image,2025-01-09,18360.68,3283415,32826,1.0,0.56,2223,6.77,8.26,149114.61,8.12,16.13,
MKTCAMP_1013,App Install_Europe_13,Meta,App Install,Engagement,Parents with Kids,Europe,Tablet,Story,2025-04-24,15770.8,1570166,14364,0.91,1.1,853,5.94,18.49,114352.04,7.25,13.82,
MKTCAMP_1014,Product Launch_India_14,X,Product Launch,Conversions,Fitness Enthusiasts,India,Mobile,Search Ad,2025-03-10,16120.16,3219168,136007,4.22,0.12,3526,2.59,4.57,910548.36,56.49,14.36,
MKTCAMP_1015,Sales Conversion_Middle East_15,LinkedIn,Sales Conversion,Engagement,Healthcare Professionals,Middle East,Tablet,Image,2025-01-29,14251.29,2547761,112094,4.4,0.13,10814,9.65,1.32,1803917.14,126.58,1.64,
MKTCAMP_1016,App Install_North America_16,Meta,App Install,Traffic,Students 18-24,North America,Mobile,Carousel,2025-03-22,3143.34,143516,7972,5.55,0.39,478,6.0,6.58,92130.97,29.31,16.9,
MKTCAMP_1017,Sales Conversion_APAC_17,Meta,Sales Conversion,Engagement,Luxury Buyers,APAC,Mobile,Story,2025-03-18,6607.66,752407,49056,6.52,0.13,2209,4.5,2.99,120685.56,18.26,6.21,
MKTCAMP_1018,App Install_APAC_18,TikTok,App Install,Traffic,Pet Owners,APAC,Mobile,Search Ad,2025-04-07,4449.92,922671,64086,6.95,0.07,7424,11.58,0.6,2293031.49,515.3,15.1,
MKTCAMP_1019,Sales Conversion_North America_19,LinkedIn,Sales Conversion,Engagement,Parents with Kids,North America,Desktop,Carousel,2025-02-28,5070.97,1017543,48523,4.77,0.1,7099,14.63,0.71,2248602.68,443.43,6.7,
MKTCAMP_1020,Sales Conversion_APAC_20,Google Ads,Sales Conversion,Leads,Pet Owners,APAC,Mobile,Video,2025-04-22,3196.27,258988,9995,3.86,0.32,1480,14.82,2.16,452042.0,141.43,1.32,55.86
MKTCAMP_1021,Retargeting_APAC_21,X,Retargeting,Conversions,Tech Decision Makers,APAC,Mobile,Image,2025-04-08,10726.57,857904,11761,1.37,0.91,753,6.41,14.25,249793.52,23.29,6.79,
MKTCAMP_1022,App Install_North America_22,Meta,App Install,Awareness,Tech Decision Makers,North America,Tablet,Story,2025-01-03,13210.37,2200100,73602,3.35,0.18,12884,17.51,1.03,4354574.7,329.63,5.56,
MKTCAMP_1023,Retargeting_Europe_23,Google Ads,Retargeting,Conversions,Pet Owners,Europe,Mobile,Search Ad,2025-01-11,12682.59,1194168,32328,2.71,0.39,370,1.15,34.28,83272.42,6.57,9.9,
MKTCAMP_1024,Sales Conversion_North America_24,Google Ads,Sales Conversion,Conversions,Students 18-24,North America,Tablet,Carousel,2025-03-26,1761.23,158786,12316,7.76,0.14,577,4.69,3.05,44063.39,25.02,9.67,
MKTCAMP_1025,App Install_India_25,TikTok,App Install,Leads,Fitness Enthusiasts,India,Tablet,Story,2025-01-28,24648.44,2059868,120384,5.84,0.2,16647,13.83,1.48,1765314.7,71.62,13.8,
MKTCAMP_1026,Sales Conversion_Latin America_26,YouTube,Sales Conversion,Engagement,Gamers,Latin America,Desktop,Image,2025-02-26,9510.69,1462887,80920,5.53,0.12,7991,9.88,1.19,470611.78,49.48,15.65,
MKTCAMP_1027,Product Launch_Europe_27,YouTube,Product Launch,Traffic,Small Business Owners,Europe,Mobile,Image,2025-01-03,8359.11,615007,4491,0.73,1.86,486,10.84,17.2,119954.81,14.35,1.49,
MKTCAMP_1028,App Install_APAC_28,YouTube,App Install,Traffic,Gamers,APAC,Mobile,Video,2025-04-01,13046.28,1053738,59282,5.63,0.22,2105,3.55,6.2,528565.66,40.51,7.89,89.94
MKTCAMP_1029,Brand Awareness_North America_29,X,Brand Awareness,Awareness,Gamers,North America,Mobile,Video,2025-03-07,3869.26,392311,5175,1.32,0.75,863,16.68,4.48,268176.04,69.31,5.66,67.8
MKTCAMP_1030,Retargeting_Europe_30,Meta,Retargeting,Conversions,Students 18-24,Europe,Tablet,Search Ad,2025-03-15,20521.94,2871761,134690,4.69,0.15,6374,4.73,3.22,381119.85,18.57,16.72,
MKTCAMP_1031,Lead Generation_Middle East_31,TikTok,Lead Generation,Traffic,Students 18-24,Middle East,Mobile,Video,2025-03-26,22560.24,3473335,109276,3.15,0.21,7224,6.61,3.12,1894897.22,83.99,16.72,85.97
MKTCAMP_1032,Retargeting_Middle East_32,TikTok,Retargeting,Traffic,Luxury Buyers,Middle East,Desktop,Video,2025-01-08,19606.95,3050168,32988,1.08,0.59,1098,3.33,17.86,348656.0,17.78,11.69,15.74
MKTCAMP_1033,Sales Conversion_North America_33,TikTok,Sales Conversion,Conversions,Parents with Kids,North America,Mobile,Carousel,2025-03-10,2986.05,476066,2099,0.44,1.42,69,3.31,43.28,14186.04,4.75,13.17,
MKTCAMP_1034,Lead Generation_Europe_34,TikTok,Lead Generation,Engagement,Luxury Buyers,Europe,Desktop,Carousel,2025-04-22,16473.05,1323913,81667,6.17,0.2,3799,4.65,4.34,509551.91,30.93,14.11,
MKTCAMP_1035,Product Launch_North America_35,Google Ads,Product Launch,Leads,Tech Decision Makers,North America,Mobile,Video,2025-01-12,16416.01,3165995,181305,5.73,0.09,18938,10.45,0.87,1135824.08,69.19,7.56,36.22
MKTCAMP_1036,Lead Generation_Middle East_36,Meta,Lead Generation,Conversions,Luxury Buyers,Middle East,Desktop,Story,2025-04-26,6477.75,1393635,49949,3.58,0.13,8047,16.11,0.8,1866617.21,288.16,14.95,
MKTCAMP_1037,Lead Generation_North America_37,Google Ads,Lead Generation,Awareness,Luxury Buyers,North America,Desktop,Story,2025-02-06,12814.61,1843288,80909,4.39,0.16,3169,3.92,4.04,827694.24,64.59,6.06,
MKTCAMP_1038,Sales Conversion_Latin America_38,TikTok,Sales Conversion,Engagement,Tech Decision Makers,Latin America,Tablet,Carousel,2025-01-25,1095.74,171138,3139,1.83,0.35,532,16.96,2.06,178356.8,162.77,17.03,
MKTCAMP_1039,Lead Generation_APAC_39,LinkedIn,Lead Generation,Leads,Young Professionals 25-34,APAC,Tablet,Video,2025-04-06,9568.89,409378,32420,7.92,0.3,2591,7.99,3.69,879202.84,91.88,17.87,83.24
MKTCAMP_1040,Brand Awareness_APAC_40,LinkedIn,Brand Awareness,Leads,Young Professionals 25-34,APAC,Desktop,Search Ad,2025-01-21,7714.0,843275,61510,7.29,0.13,3718,6.05,2.07,313195.69,40.6,10.83,
MKTCAMP_1041,App Install_Europe_41,Google Ads,App Install,Leads,Small Business Owners,Europe,Mobile,Video,2025-03-28,23435.79,3873593,194357,5.02,0.12,4276,2.2,5.48,969806.69,41.38,18.33,26.21
MKTCAMP_1042,Product Launch_APAC_42,Meta,Product Launch,Leads,Small Business Owners,APAC,Mobile,Search Ad,2025-01-06,13199.08,2612456,167203,6.4,0.08,21231,12.7,0.62,5409550.67,409.84,7.42,
MKTCAMP_1043,Brand Awareness_Latin America_43,YouTube,Brand Awareness,Leads,Luxury Buyers,Latin America,Tablet,Search Ad,2025-02-10,7693.0,1428474,99449,6.96,0.08,15587,15.67,0.49,5022707.76,652.89,10.05,
MKTCAMP_1044,Lead Generation_Europe_44,LinkedIn,Lead Generation,Engagement,Parents with Kids,Europe,Desktop,Carousel,2025-03-27,12787.15,2348911,133058,5.66,0.1,17010,12.78,0.75,4841958.66,378.66,16.6,
MKTCAMP_1045,Retargeting_India_45,X,Retargeting,Traffic,Students 18-24,India,Mobile,Story,2025-03-21,8780.88,944865,10972,1.16,0.8,1165,10.62,7.54,48349.28,5.51,9.25,
MKTCAMP_1046,Brand Awareness_APAC_46,YouTube,Brand Awareness,Leads,Small Business Owners,APAC,Mobile,Image,2025-01-17,13794.79,1263291,65511,5.19,0.21,677,1.03,20.38,28401.11,2.06,15.43,
MKTCAMP_1047,Brand Awareness_India_47,LinkedIn,Brand Awareness,Conversions,Gamers,India,Desktop,Story,2025-04-17,9324.67,586250,27144,4.63,0.34,3793,13.97,2.46,375744.93,40.3,11.98,
MKTCAMP_1048,Sales Conversion_APAC_48,YouTube,Sales Conversion,Leads,Pet Owners,APAC,Tablet,Video,2025-03-27,2591.01,127743,6008,4.7,0.43,598,9.96,4.33,139918.59,54.0,13.76,93.07
MKTCAMP_1049,Retargeting_Europe_49,YouTube,Retargeting,Traffic,Small Business Owners,Europe,Desktop,Video,2025-04-06,13149.36,1290375,88274,6.84,0.15,4625,5.24,2.84,788427.7,59.96,2.56,17.03
MKTCAMP_1050,Lead Generation_India_50,YouTube,Lead Generation,Conversions,Pet Owners,India,Tablet,Image,2025-01-27,24084.89,4587603,276971,6.04,0.09,21206,7.66,1.14,1812141.39,75.24,3.91,
MKTCAMP_1051,Sales Conversion_APAC_51,X,Sales Conversion,Awareness,Pet Owners,APAC,Desktop,Video,2025-01-12,6630.95,920779,56979,6.19,0.12,6867,12.05,0.97,821147.94,123.84,17.72,74.03
MKTCAMP_1052,Product Launch_North America_52,X,Product Launch,Awareness,Pet Owners,North America,Mobile,Carousel,2025-03-23,14081.67,2113795,80298,3.8,0.18,3882,4.84,3.63,558663.5,39.67,14.31,
MKTCAMP_1053,Lead Generation_APAC_53,LinkedIn,Lead Generation,Engagement,Students 18-24,APAC,Tablet,Search Ad,2025-01-02,852.64,51919,401,0.77,2.13,4,1.21,213.16,1214.99,1.42,13.37,
MKTCAMP_1054,Brand Awareness_APAC_54,Google Ads,Brand Awareness,Awareness,Fitness Enthusiasts,APAC,Mobile,Search Ad,2025-03-12,12117.26,698077,30590,4.38,0.4,2687,8.79,4.51,229535.9,18.94,8.71,
MKTCAMP_1055,Product Launch_North America_55,Meta,Product Launch,Awareness,Fitness Enthusiasts,North America,Desktop,Video,2025-04-26,10263.37,1548260,85839,5.54,0.12,1109,1.29,9.25,166212.52,16.19,12.03,55.25
MKTCAMP_1056,Lead Generation_Latin America_56,LinkedIn,Lead Generation,Awareness,Gamers,Latin America,Mobile,Search Ad,2025-04-24,21484.0,3406607,58585,1.72,0.37,1016,1.73,21.15,239343.36,11.14,1.66,
MKTCAMP_1057,App Install_Europe_57,TikTok,App Install,Conversions,Fitness Enthusiasts,Europe,Mobile,Story,2025-01-04,14851.5,3107549,157283,5.06,0.09,11470,7.29,1.29,2705225.08,182.15,9.13,
MKTCAMP_1058,Sales Conversion_Middle East_58,Meta,Sales Conversion,Conversions,Parents with Kids,Middle East,Tablet,Image,2025-01-21,13867.61,2904760,102463,3.53,0.14,17747,17.32,0.78,5673932.51,409.15,4.59,
MKTCAMP_1059,Brand Awareness_North America_59,X,Brand Awareness,Conversions,Luxury Buyers,North America,Desktop,Carousel,2025-04-15,2199.35,127870,700,0.55,3.14,15,2.15,146.62,3728.43,1.7,2.43,
